2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=BID, originalAmount=0.00015000, instrument=BTC/USDT, price=56844.27000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508335', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00009000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508336', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.02157000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508337', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00724000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508338', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508339', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508340', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508341', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508342', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508343', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.01901000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508344', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.14635000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508345', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.01990000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508346', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.02035000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508347', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00217000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508348', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56844.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508349', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56847.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508350', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56847.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508351', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56847.28000000, timestamp=Sun Jul 07 22:47:33 NOVT 2024, id='3669508352', makerOrderId='0', takerOrderId='0'}
